NODE_11_length_171315_cov_115.339960_N4	35359	36403	+
NODE_11_length_171315_cov_115.339960_N5	39881	39969	+
NODE_11_length_171315_cov_115.339960_N6	41919	41979	+
NODE_11_length_171315_cov_115.339960_N7	45441	46913	+
NODE_11_length_171315_cov_115.339960_N8	48516	49509	+
NODE_11_length_171315_cov_115.339960_N9	53025	53100	+
NODE_11_length_171315_cov_115.339960_N10	55520	55586	+
NODE_11_length_171315_cov_115.339960_N11	59117	59188	+
NODE_11_length_171315_cov_115.339960_N12	60528	60593	+
NODE_11_length_171315_cov_115.339960_N13	64587	64668	+
NODE_11_length_171315_cov_115.339960_N14	68306	68388	+
NODE_11_length_171315_cov_115.339960_N15	70384	70814	+
NODE_11_length_171315_cov_115.339960_N16	73144	74445	+
NODE_11_length_171315_cov_115.339960_N17	75909	75955	+
NODE_11_length_171315_cov_115.339960_N18	79669	80278	+
NODE_11_length_171315_cov_115.339960_N19	99869	99934	+
NODE_11_length_171315_cov_115.339960_N20	114443	116357	+
NODE_11_length_171315_cov_115.339960_N21	121069	121136	+
NODE_11_length_171315_cov_115.339960_N22	123341	123402	+
NODE_11_length_171315_cov_115.339960_N23	128792	129827	+
NODE_11_length_171315_cov_115.339960_N24	134589	134836	+
NODE_11_length_171315_cov_115.339960_N25	140587	140701	+
NODE_11_length_171315_cov_115.339960_N26	142879	142940	+
NODE_11_length_171315_cov_115.339960_N27	146414	146485	+
NODE_11_length_171315_cov_115.339960_N28	148464	149108	+
NODE_11_length_171315_cov_115.339960_N29	151939	152021	+
NODE_11_length_171315_cov_115.339960_N30	160420	160492	+
NODE_11_length_171315_cov_115.339960_N31	162845	162909	+
NODE_11_length_171315_cov_115.339960_N32	171186	171315	+
NODE_8_length_234747_cov_108.693151_N1	1	118	+
NODE_8_length_234747_cov_108.693151_N2	7941	7996	+
NODE_8_length_234747_cov_108.693151_N3	9759	10632	+
NODE_8_length_234747_cov_108.693151_N4	13237	14259	+
NODE_8_length_234747_cov_108.693151_N5	17066	31659	+
NODE_8_length_234747_cov_108.693151_N6	40555	41093	+
NODE_8_length_234747_cov_108.693151_N7	45110	46194	+
NODE_8_length_234747_cov_108.693151_N8	49217	50130	+
NODE_8_length_234747_cov_108.693151_N9	55498	62268	+
NODE_8_length_234747_cov_108.693151_N10	64603	64684	+
NODE_8_length_234747_cov_108.693151_N11	68968	69030	+
